Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
3/27/18,156.31,162.85,150.75,152.19,76787884,0,1,156.31,162.85,150.75,152.19,76787884
3/26/18,160.82,161.1,149.02,160.06,125438294,0,1,160.82,161.1,149.02,160.06,125438294
3/23/18,165.44,167.1,159.02,159.39,52306891,0,1,165.44,167.1,159.02,159.39,52306891
3/22/18,166.13,170.27,163.72,164.89,73389988,0,1,166.13,170.27,163.72,164.89,73389988
3/21/18,164.8,173.4,163.3,169.39,105350867,0,1,164.8,173.4,163.3,169.39,105350867
3/20/18,167.47,170.2,161.95,168.15,128925534,0,1,167.47,170.2,161.95,168.15,128925534
3/19/18,177.01,177.17,170.06,172.56,86897749,0,1,177.01,177.17,170.06,172.56,86897749
3/16/18,184.49,185.33,183.41,185.09,23090480,0,1,184.49,185.33,183.41,185.09,23090480
3/15/18,183.24,184,182.19,183.86,15461869,0,1,183.24,184,182.19,183.86,15461869
3/14/18,182.6,184.25,181.85,184.19,16426843,0,1,182.6,184.25,181.85,184.19,16426843
3/13/18,185.61,185.99,181.11,181.88,17742312,0,1,185.61,185.99,181.11,181.88,17742312
3/12/18,185.23,186.1,184.22,184.76,14873538,0,1,185.23,186.1,184.22,184.76,14873538
3/9/18,183.91,185.51,183.21,185.23,17952177,0,1,183.91,185.51,183.21,185.23,17952177
3/8/18,183.56,184.4,181.45,182.34,15336555,0,1,183.56,184.4,181.45,182.34,15336555
3/7/18,178.74,183.82,178.07,183.71,19097293,0,1,178.74,183.82,178.07,183.71,19097293
3/6/18,181.78,182.38,179.11,179.78,15086784,0,1,181.78,182.38,179.11,179.78,15086784
3/5/18,176.2,181.1475,175.89,180.4,16189280,0,1,176.2,181.1475,175.89,180.4,16189280
3/2/18,173.29,177.11,172.99,176.62,20025905,0,1,173.29,177.11,172.99,176.62,20025905
3/1/18,179.01,180.12,174.41,175.94,23201626,0,1,179.01,180.12,174.41,175.94,23201626
2/28/18,182.3,182.88,178.14,178.32,18208084,0,1,182.3,182.88,178.14,178.32,18208084
2/27/18,184.45,184.7,181.46,181.46,15649326,0,1,184.45,184.7,181.46,181.46,15649326
2/26/18,184.58,185.66,183.2228,184.93,17418814,0,1,184.58,185.66,183.2228,184.93,17418814
2/23/18,179.9,183.39,179.51,183.29,18621950,0,1,179.9,183.39,179.51,183.29,18621950
2/22/18,178.7,180.21,177.41,178.99,17085490,0,1,178.7,180.21,177.41,178.99,17085490
2/21/18,176.71,181.27,176.4,177.91,22844006,0,1,176.71,181.27,176.4,177.91,22844006
2/20/18,175.77,177.95,175.11,176.01,20887317,0,1,175.77,177.95,175.11,176.01,20887317
2/16/18,178.99,179.88,176.3,177.36,20475445,0,1,178.99,179.88,176.3,177.36,20475445
2/15/18,180.5,180.5,176.84,179.96,20554092,0,1,180.5,180.5,176.84,179.96,20554092
2/14/18,173.45,179.81,173.2119,179.52,27963758,0,1,173.45,179.81,173.2119,179.52,27963758
2/13/18,175.62,175.97,173.1,173.15,20880702,0,1,175.62,175.97,173.1,173.15,20880702
2/12/18,177.06,177.545,171.84,176.41,31697374,0,1,177.06,177.545,171.84,176.41,31697374
2/9/18,174.76,176.9,167.18,175.98,37214470,0,1,174.76,176.9,167.18,175.98,37214470
2/8/18,181.01,181.84,171.4815,171.5499,35672214,0,1,181.01,181.84,171.4815,171.5499,35672214
2/7/18,184.15,185.0817,179.95,180.18,26891282,0,1,184.15,185.0817,179.95,180.18,26891282
2/6/18,178.57,185.77,177.74,185.31,36829710,0,1,178.57,185.77,177.74,185.31,36829710
2/5/18,186.93,190.61,180.61,182.65,29852293,0,1,186.93,190.61,180.61,182.65,29852293
2/2/18,192.04,194.21,189.98,190.28,25514560,0,1,192.04,194.21,189.98,190.28,25514560
2/1/18,188.22,195.32,187.89,193.09,53608910,0,1,188.22,195.32,187.89,193.09,53608910
1/31/18,188.37,189.83,185.22,186.89,27299152,0,1,188.37,189.83,185.22,186.89,27299152
1/30/18,183.01,188.18,181.84,187.12,20382841,0,1,183.01,188.18,181.84,187.12,20382841
1/29/18,188.75,188.84,185.6301,185.98,20022931,0,1,188.75,188.84,185.6301,185.98,20022931
1/26/18,187.75,190,186.81,190,16652197,0,1,187.75,190,186.81,190,16652197
1/25/18,187.95,188.62,186.6,187.48,16698537,0,1,187.95,188.62,186.6,187.48,16698537
1/24/18,189.89,190.66,186.52,186.55,22992031,0,1,189.89,190.66,186.52,186.55,22992031
1/23/18,186.05,189.55,185.55,189.35,24956444,0,1,186.05,189.55,185.55,189.35,24956444
1/22/18,180.8,185.39,180.41,185.37,20567285,0,1,180.8,185.39,180.41,185.37,20567285
1/19/18,180.85,182.37,180.1702,181.29,26266081,0,1,180.85,182.37,180.1702,181.29,26266081
1/18/18,178.13,180.98,177.08,179.8,22783759,0,1,178.13,180.98,177.08,179.8,22783759
1/17/18,179.26,179.32,175.8,177.6,27356988,0,1,179.26,179.32,175.8,177.6,27356988
1/16/18,181.5,181.75,178.04,178.39,35027166,0,1,181.5,181.75,178.04,178.39,35027166
1/12/18,178.06,181.48,177.4,179.37,76645626,0,1,178.06,181.48,177.4,179.37,76645626
1/11/18,188.4,188.4,187.38,187.77,8855144,0,1,188.4,188.4,187.38,187.77,8855144
1/10/18,186.94,187.89,185.63,187.84,10464528,0,1,186.94,187.89,185.63,187.84,10464528
1/9/18,188.7,188.8,187.1,187.87,12342722,0,1,188.7,188.8,187.1,187.87,12342722
1/8/18,187.2,188.9,186.33,188.28,14719216,0,1,187.2,188.9,186.33,188.28,14719216
1/5/18,185.59,186.9,184.93,186.85,13042388,0,1,185.59,186.9,184.93,186.85,13042388
1/4/18,184.9,186.21,184.0996,184.33,13554357,0,1,184.9,186.21,184.0996,184.33,13554357
1/3/18,181.88,184.78,181.33,184.67,16595495,0,1,181.88,184.78,181.33,184.67,16595495
1/2/18,177.68,181.58,177.55,181.42,17694891,0,1,177.68,181.58,177.55,181.42,17694891
12/29/17,178,178.85,176.46,176.46,10028758,0,1,178,178.85,176.46,176.46,10028758
12/28/17,177.95,178.9367,177.68,177.92,11008996,0,1,177.95,178.9367,177.68,177.92,11008996
12/27/17,176.55,178.44,176.26,177.62,9296258,0,1,176.55,178.44,176.26,177.62,9296258
12/26/17,176.63,177,174.67,175.99,8726829,0,1,176.63,177,174.67,175.99,8726829
12/22/17,177.14,177.53,176.23,177.2,8462491,0,1,177.14,177.53,176.23,177.2,8462491
12/21/17,177.94,178.68,177.05,177.45,11050969,0,1,177.94,178.68,177.05,177.45,11050969
12/20/17,179.81,179.81,177.36,177.89,11754823,0,1,179.81,179.81,177.36,177.89,11754823
12/19/17,179.95,180.08,178.22,179.51,14769239,0,1,179.95,180.08,178.22,179.51,14769239
12/18/17,181.01,181.3,179.75,180.82,17014337,0,1,181.01,181.3,179.75,180.82,17014337
12/15/17,179.02,180.4934,178.36,180.18,26225100,0,1,179.02,180.4934,178.36,180.18,26225100
12/14/17,178.29,180.3601,177.68,178.39,13393757,0,1,178.29,180.3601,177.68,178.39,13393757
12/13/17,177.3,179.16,177.25,178.3,14406776,0,1,177.3,179.16,177.25,178.3,14406776
12/12/17,178.6,179.18,176.6,176.96,16675275,0,1,178.6,179.18,176.6,176.96,16675275
12/11/17,179.3,180.22,178.8,179.04,12630207,0,1,179.3,180.22,178.8,179.04,12630207
12/8/17,181.53,182.28,178.7401,179,19377310,0,1,181.53,182.28,178.7401,179,19377310
12/7/17,175.8,180.39,175.8,180.14,19588217,0,1,175.8,180.39,175.8,180.14,19588217
12/6/17,172.5,176.77,171.9,176.06,20059293,0,1,172.5,176.77,171.9,176.06,20059293
12/5/17,170.45,175.38,169.01,172.83,20028656,0,1,170.45,175.38,169.01,172.83,20028656
12/4/17,176.29,176.57,170.79,171.47,24184006,0,1,176.29,176.57,170.79,171.47,24184006
12/1/17,176.03,177.48,172.34,175.1,19824531,0,1,176.03,177.48,172.34,175.1,19824531
11/30/17,176.85,178.275,175.2,177.18,24613431,0,1,176.85,178.275,175.2,177.18,24613431
11/29/17,181.89,181.97,174,175.13,41651953,0,1,181.89,181.97,174,175.13,41651953
11/28/17,183.51,184.25,182.09,182.42,13761926,0,1,183.51,184.25,182.09,182.42,13761926
11/27/17,182.56,183.73,181.99,183.03,12249740,0,1,182.56,183.73,181.99,183.03,12249740
11/24/17,180.4,183.15,180.29,182.78,9426010,0,1,180.4,183.15,180.29,182.78,9426010
11/22/17,181.3,181.73,180.44,180.87,10238140,0,1,181.3,181.73,180.44,180.87,10238140
11/21/17,179.15,181.89,178.99,181.86,14409305,0,1,179.15,181.89,178.99,181.86,14409305
11/20/17,178.87,179.5,178.1,178.74,9476502,0,1,178.87,179.5,178.1,178.74,9476502
11/17/17,179.3,179.98,178.9,179,12722802,0,1,179.3,179.98,178.9,179,12722802
11/16/17,178.76,179.83,178.5,179.59,14655982,0,1,178.76,179.83,178.5,179.59,14655982
11/15/17,176.66,178.57,176.4,177.95,10131051,0,1,176.66,178.57,176.4,177.95,10131051
11/14/17,178.13,178.97,177.18,178.07,9465112,0,1,178.13,178.97,177.18,178.07,9465112
11/13/17,177.5,179.04,177.3,178.77,9431449,0,1,177.5,179.04,177.3,178.77,9431449
11/10/17,178.35,179.0999,177.96,178.46,10933405,0,1,178.35,179.0999,177.96,178.46,10933405
11/9/17,178.31,179.4,177.09,179.3,12460345,0,1,178.31,179.4,177.09,179.3,12460345
11/7/17,180.5,180.7478,178.96,180.25,12679885,0,1,180.5,180.7478,178.96,180.25,12679885
11/6/17,178.56,180.45,178.31,180.17,13065077,0,1,178.56,180.45,178.31,180.17,13065077
11/3/17,179.29,179.86,176.71,178.92,17572587,0,1,179.29,179.86,176.71,178.92,17572587
11/2/17,180.63,181.94,177.34,178.92,35119841,0,1,180.63,181.94,177.34,178.92,35119841
11/1/17,182.36,182.9,180.57,182.66,28922959,0,1,182.36,182.9,180.57,182.66,28922959
10/31/17,180.57,180.8,178.94,180.06,19766043,0,1,180.57,180.8,178.94,180.06,19766043
10/30/17,179.26,180.69,177.61,179.87,24179258,0,1,179.26,180.69,177.61,179.87,24179258
10/27/17,174.15,178.21,173.9,177.88,29867490,0,1,174.15,178.21,173.9,177.88,29867490
10/26/17,171.38,172.285,170.39,170.63,10932929,0,1,171.38,172.285,170.39,170.63,10932929
10/25/17,171.9,172.25,168.89,170.6,15095603,0,1,171.9,172.25,168.89,170.6,15095603
10/24/17,172.3,173.24,171.5,171.8,11629341,0,1,172.3,173.24,171.5,171.8,11629341
10/23/17,175.2,175.34,171.25,171.27,13622072,0,1,175.2,175.34,171.25,171.27,13622072
10/20/17,175.5,175.88,174.63,174.98,11861307,0,1,175.5,175.88,174.63,174.98,11861307
10/19/17,174.93,176.03,172.63,174.56,13602869,0,1,174.93,176.03,172.63,174.56,13602869
10/18/17,176.65,176.74,175.75,176.03,12655492,0,1,176.65,176.74,175.75,176.03,12655492
10/17/17,174.71,176.13,174.36,176.11,15381990,0,1,174.71,176.13,174.36,176.11,15381990
10/16/17,174.49,175,174.06,174.52,11225293,0,1,174.49,175,174.06,174.52,11225293
10/13/17,173.45,174.65,173.2,173.74,13305724,0,1,173.45,174.65,173.2,173.74,13305724
10/12/17,172.61,173.85,172.29,172.55,10312488,0,1,172.61,173.85,172.29,172.55,10312488
