Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,Company
3/27/18,173.68,175.15,166.92,168.34,38962839,0,1,173.68,175.15,166.92,168.34,38962839,Apple
3/26/18,168.07,173.1,166.44,172.77,36272617,0,1,168.07,173.1,166.44,172.77,36272617,Apple
3/23/18,168.39,169.92,164.94,164.94,40248954,0,1,168.39,169.92,164.94,164.94,40248954,Apple
3/22/18,170,172.68,168.6,168.845,41051076,0,1,170,172.68,168.6,168.845,41051076,Apple
3/21/18,175.04,175.09,171.26,171.27,35247358,0,1,175.04,175.09,171.26,171.27,35247358,Apple
3/20/18,175.24,176.8,174.94,175.24,19314039,0,1,175.24,176.8,174.94,175.24,19314039,Apple
3/19/18,177.32,177.47,173.66,175.3,32804695,0,1,177.32,177.47,173.66,175.3,32804695,Apple
3/16/18,178.65,179.12,177.62,178.02,36836456,0,1,178.65,179.12,177.62,178.02,36836456,Apple
3/15/18,178.5,180.24,178.0701,178.65,22584565,0,1,178.5,180.24,178.0701,178.65,22584565,Apple
3/14/18,180.32,180.52,177.81,178.44,29075469,0,1,180.32,180.52,177.81,178.44,29075469,Apple
3/13/18,182.59,183.5,179.24,179.97,31168404,0,1,182.59,183.5,179.24,179.97,31168404,Apple
3/12/18,180.29,182.39,180.21,181.72,32055405,0,1,180.29,182.39,180.21,181.72,32055405,Apple
3/9/18,177.96,180,177.39,179.98,31385134,0,1,177.96,180,177.39,179.98,31385134,Apple
3/8/18,175.48,177.12,175.07,176.94,23163767,0,1,175.48,177.12,175.07,176.94,23163767,Apple
3/7/18,174.94,175.85,174.27,175.03,31703462,0,1,174.94,175.85,174.27,175.03,31703462,Apple
3/6/18,177.91,178.25,176.13,176.67,23788506,0,1,177.91,178.25,176.13,176.67,23788506,Apple
3/5/18,175.21,177.74,174.52,176.82,28401366,0,1,175.21,177.74,174.52,176.82,28401366,Apple
3/2/18,172.8,176.3,172.45,176.21,38453950,0,1,172.8,176.3,172.45,176.21,38453950,Apple
3/1/18,178.54,179.775,172.66,175,48801970,0,1,178.54,179.775,172.66,175,48801970,Apple
