Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2018-03-27,322.49,322.9,297.0,300.69,11890994.0,0.0,1.0,322.49,322.9,297.0,300.69,11890994.0
2018-03-26,309.36,321.03,302.0,320.35,11906279.0,0.0,1.0,309.36,321.03,302.0,320.35,11906279.0
2018-03-23,307.41,310.73,300.36,300.94,9226978.0,0.0,1.0,307.41,310.73,300.36,300.94,9226978.0
2018-03-22,313.07,314.12,305.66,306.7,7920524.0,0.0,1.0,313.07,314.12,305.66,306.7,7920524.0
2018-03-21,316.35,319.4,314.511,316.48,5016980.0,0.0,1.0,316.35,319.4,314.511,316.48,5016980.0
2018-03-20,313.26,319.5,312.8,317.5,5922296.0,0.0,1.0,313.26,319.5,312.8,317.5,5922296.0
2018-03-19,315.8,317.0,307.34,313.48,9812726.0,0.0,1.0,315.8,317.0,307.34,313.48,9812726.0
2018-03-16,321.42,324.11,318.37,318.45,7144077.0,0.0,1.0,321.42,324.11,318.37,318.45,7144077.0
2018-03-15,323.17,323.4,318.14,321.09,5217383.0,0.0,1.0,323.17,323.4,318.14,321.09,5217383.0
2018-03-14,318.16,323.88,317.7,321.55,10187889.0,0.0,1.0,318.16,323.88,317.7,321.55,10187889.0
2018-03-13,323.87,325.8409,313.278,315.88,12836292.0,0.0,1.0,323.87,325.8409,313.278,315.88,12836292.0
2018-03-12,333.56,333.98,318.6,321.3,20050086.0,0.0,1.0,333.56,333.98,318.6,321.3,20050086.0
2018-03-09,321.33,331.44,320.23,331.44,14152860.0,0.0,1.0,321.33,331.44,320.23,331.44,14152860.0
2018-03-08,322.2,322.9176,314.13,317.0,11182666.0,0.0,1.0,322.2,322.9176,314.13,317.0,11182666.0
2018-03-07,320.0,323.74,314.55,321.16,17132222.0,0.0,1.0,320.0,323.74,314.55,321.16,17132222.0
2018-03-06,319.88,325.79,316.5,325.22,18525844.0,0.0,1.0,319.88,325.79,316.5,325.22,18525844.0
2018-03-05,302.85,316.91,297.6,315.0,18986099.0,0.0,1.0,302.85,316.91,297.6,315.0,18986099.0
2018-03-02,284.65,301.18,283.23,301.05,13345313.0,0.0,1.0,284.65,301.18,283.23,301.05,13345313.0
2018-03-01,292.75,295.25,283.83,290.39,11932051.0,0.0,1.0,292.75,295.25,283.83,290.39,11932051.0
2018-02-28,293.1,295.75,290.78,291.38,7422673.0,0.0,1.0,293.1,295.75,290.78,291.38,7422673.0
2018-02-27,294.77,297.36,290.59,290.61,9187578.0,0.0,1.0,294.77,297.36,290.59,290.61,9187578.0
2018-02-26,288.75,295.6475,287.01,294.16,10203579.0,0.0,1.0,288.75,295.6475,287.01,294.16,10203579.0
2018-02-23,281.0,286.0,277.81,285.93,7224968.0,0.0,1.0,281.0,286.0,277.81,285.93,7224968.0
2018-02-22,283.88,284.5,274.45,278.14,8769251.0,0.0,1.0,283.88,284.5,274.45,278.14,8769251.0
2018-02-21,282.07,286.64,280.01,281.04,9289130.0,0.0,1.0,282.07,286.64,280.01,281.04,9289130.0
2018-02-20,277.74,285.812,276.61,278.55,7691297.0,0.0,1.0,277.74,285.812,276.61,278.55,7691297.0
2018-02-16,278.73,281.96,275.69,278.52,8223309.0,0.0,1.0,278.73,281.96,275.69,278.52,8223309.0
2018-02-15,270.03,280.5,267.63,280.27,10661768.0,0.0,1.0,270.03,280.5,267.63,280.27,10661768.0
2018-02-14,260.47,269.88,260.33,266.0,10819780.0,0.0,1.0,260.47,269.88,260.33,266.0,10819780.0
2018-02-13,257.29,261.41,254.7,258.27,6758332.0,0.0,1.0,257.29,261.41,254.7,258.27,6758332.0
2018-02-12,252.14,259.15,249.0,257.95,8453411.0,0.0,1.0,252.14,259.15,249.0,257.95,8453411.0
2018-02-09,253.85,255.7999,236.11,249.18,16282837.0,0.0,1.0,253.85,255.7999,236.11,249.18,16282837.0
2018-02-08,267.08,267.62,250.0,250.0542,8711249.0,0.0,1.0,267.08,267.62,250.0,250.0542,8711249.0
2018-02-07,266.58,272.45,264.325,264.56,8679872.0,0.0,1.0,266.58,272.45,264.325,264.56,8679872.0
2018-02-06,247.7,266.7,245.0,265.72,12285458.0,0.0,1.0,247.7,266.7,245.0,265.72,12285458.0
2018-02-05,262.0,267.899,250.03,255.59,11121359.0,0.0,1.0,262.0,267.899,250.03,255.59,11121359.0
2018-02-02,263.0,270.62,262.71,267.43,8968632.0,0.0,1.0,263.0,270.62,262.71,267.43,8968632.0
2018-02-01,266.41,271.95,263.38,265.07,9468021.0,0.0,1.0,266.41,271.95,263.38,265.07,9468021.0
2018-01-31,281.94,282.289,269.58,270.3,11192988.0,0.0,1.0,281.94,282.289,269.58,270.3,11192988.0
2018-01-30,277.0,282.73,272.7,278.8,11983092.0,0.0,1.0,277.0,282.73,272.7,278.8,11983092.0
2018-01-29,274.2,286.81,273.92,284.59,17290833.0,0.0,1.0,274.2,286.81,273.92,284.59,17290833.0
2018-01-26,271.485,274.6,268.76,274.6,10841105.0,0.0,1.0,271.485,274.6,268.76,274.6,10841105.0
2018-01-25,263.0,272.3,260.23,269.74,15127209.0,0.0,1.0,263.0,272.3,260.23,269.74,15127209.0
2018-01-24,250.88,261.71,249.311,261.279,17116019.0,0.0,1.0,250.88,261.71,249.311,261.279,17116019.0
2018-01-23,255.05,257.71,248.02,250.29,27518256.0,0.0,1.0,255.05,257.71,248.02,250.29,27518256.0
2018-01-22,222.0,227.785,221.2,227.58,13078653.0,0.0,1.0,222.0,227.785,221.2,227.58,13078653.0
2018-01-19,222.75,223.49,218.5,220.46,10257129.0,0.0,1.0,222.75,223.49,218.5,220.46,10257129.0
2018-01-18,220.34,220.58,216.55,220.33,8104960.0,0.0,1.0,220.34,220.58,216.55,220.33,8104960.0
2018-01-17,221.0,221.15,216.32,217.5,8979616.0,0.0,1.0,221.0,221.15,216.32,217.5,8979616.0
2018-01-16,224.24,226.07,217.2,221.53,10344272.0,0.0,1.0,224.24,226.07,217.2,221.53,10344272.0
2018-01-12,217.18,222.55,216.0,221.23,8150809.0,0.0,1.0,217.18,222.55,216.0,221.23,8150809.0
2018-01-11,214.29,217.75,213.35,217.24,6936990.0,0.0,1.0,214.29,217.75,213.35,217.24,6936990.0
2018-01-10,207.57,213.64,206.91,212.52,5783171.0,0.0,1.0,207.57,213.64,206.91,212.52,5783171.0
2018-01-09,212.11,212.98,208.59,209.31,5773129.0,0.0,1.0,212.11,212.98,208.59,209.31,5773129.0
2018-01-08,210.02,212.5,208.44,212.05,5508816.0,0.0,1.0,210.02,212.5,208.44,212.05,5508816.0
2018-01-05,207.25,210.02,205.59,209.99,6947850.0,0.0,1.0,207.25,210.02,205.59,209.99,6947850.0
2018-01-04,206.2,207.05,204.0006,205.63,5999150.0,0.0,1.0,206.2,207.05,204.0006,205.63,5999150.0
2018-01-03,202.05,206.21,201.5,205.05,8526678.0,0.0,1.0,202.05,206.21,201.5,205.05,8526678.0
2018-01-02,196.1,201.65,195.42,201.07,10854449.0,0.0,1.0,196.1,201.65,195.42,201.07,10854449.0
2017-12-29,192.51,193.95,191.22,191.96,5158845.0,0.0,1.0,192.51,193.95,191.22,191.96,5158845.0
2017-12-28,187.18,194.49,186.85,192.71,10080261.0,0.0,1.0,187.18,194.49,186.85,192.71,10080261.0
2017-12-27,187.8,188.1,185.22,186.24,3932094.0,0.0,1.0,187.8,188.1,185.22,186.24,3932094.0
2017-12-26,189.78,189.94,186.4,187.76,3032707.0,0.0,1.0,189.78,189.94,186.4,187.76,3032707.0
2017-12-22,188.33,190.95,186.8,189.94,3760922.0,0.0,1.0,188.33,190.95,186.8,189.94,3760922.0
2017-12-21,189.44,190.95,187.58,188.62,3522551.0,0.0,1.0,189.44,190.95,187.58,188.62,3522551.0
2017-12-20,187.94,189.11,185.26,188.82,5814609.0,0.0,1.0,187.94,189.11,185.26,188.82,5814609.0
2017-12-19,190.18,190.2981,185.75,187.02,6526555.0,0.0,1.0,190.18,190.2981,185.75,187.02,6526555.0
2017-12-18,191.2,191.65,188.9,190.42,4944337.0,0.0,1.0,191.2,191.65,188.9,190.42,4944337.0
2017-12-15,189.61,191.43,188.01,190.12,7048874.0,0.0,1.0,189.61,191.43,188.01,190.12,7048874.0
2017-12-14,187.98,192.64,187.2,189.56,7677048.0,0.0,1.0,187.98,192.64,187.2,189.56,7677048.0
